mni_nlin_x,mni_nlin_y,mni_nlin_z
9.3301014823209396,48.371944367215697,-24.7681739105348
6.8769144130186204,62.916316698785202,-0.0168945899085075
2.9191747487961202,61.024887127165002,-7.62933043614543
27.906083145789601,59.3409044277386,4.81628854748384
31.468551254028199,54.540359056898197,-4.02679001370497
29.1194876788432,55.077650373238598,-4.48120184284107
43.675199745941597,54.3649102455324,-12.0109713002618
58.165962414248298,-63.034457831439902,-9.84078972741719
15.855607963107101,-58.360490105154398,-32.746808281968
-0.89675284140249401,-52.391519890584902,-29.2095826690332
9.8293714672701196,-60.0047087726402,-31.6911519430414
-4.6661739713713999,-57.878992558099903,-29.5133435827703
24.504482388834099,12.6019024533897,-10.1364734077916
-25.886155444279201,-24.910550013416501,-12.9146268053398
4.6833528677063301,-6.8180094906305504,15.7550162143821
2.3105973074873001,-11.144996189918199,4.81458864998962
-9.2011556704884896,-3.8402424743660699,-5.38487828983789
26.882833198759901,-23.023872348312999,-17.4549851505926
35.834245983994897,-21.5063319011585,-15.8235210577622
30.533451110761401,-18.132658977420402,-13.6602087410228
31.262684347678199,-21.523832313716699,-16.4176293400785
33.684228761091703,-20.015499296481099,-15.2006744258285
34.800681365827202,-20.0414383589832,-15.0665712867721
38.958569326660601,-22.1907117209023,-13.317696850423
3.1091161236624401,-15.3962914354169,-6.71417036008173
15.4912661224659,-17.1811082867248,-7.19181224422223
6.5944779139882899,-13.5925574375919,-0.294850150094954
12.2476881131085,-13.9710769908776,-1.6489019532443
24.356442935374901,-19.273146876483001,-11.2064103282957
-7.9517649817577301,-14.7084229507449,13.8164128999156
-1.87523534012846,-17.5748561143666,7.90168887473546
7.2530096391966401,-20.639200036896501,8.14523791740383
16.922283087097,-20.555342322557301,-0.639821304595028
0.15992449339828199,-17.9001067910764,4.85889538632703
0.10499405279245,-18.914158302136901,1.81325131162674
-2.5574493798279598,-20.440007752268301,-1.76040499252923
-2.53611875894704,-23.202961220893801,-6.04787767645256
0.92715796610130796,-22.5415715937845,-4.86849241889316
-8.2407696561937005,-15.2274264733667,16.2651880905499
-8.2160196217625892,-20.257065071463199,8.02110059228291
-18.7413333064043,-19.463720743035001,6.88774029523556
-12.801024168940099,-18.8422763373636,9.55525543149202
5.4447335246793402,-20.078114140406601,15.8166105835875
4.0587003461044899,-22.6315250824562,4.35337889524429
14.2339163222238,-24.1065495189285,6.87667706952466
