structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4230,9,139409815,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127050745,100,73,118,-9.0,-27.0,36.0,-9.4017898586201003,-24.912691722725601,41.4156619049591
4121,10,139409879,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",127057177,106,60,128,-15.0,-37.0,49.0,-14.0741559518457,-35.960792474471802,50.6115928779295
4120,10,139409863,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",127057176,94,48,128,-3.0,-37.0,61.0,0.046692636873932901,-35.493146904755697,61.7346725740315
4135,10,139409785,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",127056954,160,82,132,-69.0,-41.0,27.0,-65.852756633149895,-41.782728598283803,23.4275907909094
4224,7,139409747,CX,"CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",126712217,94,83,91,-3.0,0.0,26.0,-3.5218442142195499,0.48229646883933802,32.1374628301055
4150,7,139409857,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",126525179,134,154,93,-43.0,-2.0,-45.0,-42.164984773677901,-1.2550376410926201,-46.8911694885117
4288,5,139409901,CX,"Pu","putamen, left",122820849,113,111,72,-22.0,19.0,-2.0,-23.059388587078601,18.577090320431299,-1.43819408115335
4223,4,127686941,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",121130697,95,80,55,-4.0,36.0,29.0,-3.9114655199758102,33.443799323071801,29.8294520872341
4030,4,127686989,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",121130910,126,63,54,-35.0,37.0,46.0,-35.196332830674201,37.076982933099899,43.9641388567069
4898,3,127687003,CX,"SRoG","superior rostral gyrus, left",121128140,97,120,44,-6.0,47.0,-11.0,-6.7467155365472999,46.126665216948197,-11.1023841744535
